,article,bias
386,As an “assault weapons” ban seems less likely to even make it to a floor vote President Obama and Democrat lawmakers are increasingly looking to universal background checks as the piece of legislation they can push through the House and Senate.Here’s the problem: Universal background checks are the most insidious of all the gun control measures pushed heretofore. They will rob of us of more freedom than an “assault weapons” ban and a “high capacity” magazine ban combined all in the name of preventing another Sandy Hook shooting. Yet they will actually do nothing to prevent such a shooting. Nothing at all.As David Kopel so ably put it in his Jan. 30 testimony before the Senate Judiciary Committee universal background checks necessitate a gun registry if they are to be enforceable.Put simply this means that once a universal background state statute is in place the government will require you to register every gun you own–shotguns rifles and handguns–so that they can be sure you do not sell a gun privately.Which brings us to our second point: universal background checks will end private sales period. No more sales to neighbors no more sales between a father and his son or a mother and her daughter. No more sales between friends.Once guns are registered and private sales have been ended the door will be opened for taxes allocated per number of guns owned forced liability insurance payable based on number of guns owned and for outright gun confiscation.The NRA has warned about the confiscation that usually follows registration historically speaking and the Democrats themselves are already promoting per-gun taxes and liability insurance.The bottom line: Universal background checks represent the crest of the hill atop the slippery slope. We must contact our Reps. and Sens. and demand that they say no to this insidious gun control measure.It has nothing to with Sandy Hook Elementary but everything to do with helping Democrats realize their dreams of crushing the 2nd Amendment.,1
387,Barack Obama in an attempt to appear sympathetic to gun owners’ concerns as he pursues a gun-banning agenda in the wake of the Sandy Hook school shooting recently bragged that he goes skeet shooting at Camp David “all the time.”Responding to the blowback from skeptics who doubted Obama was telling the unvarnished truth (Marsha Blackburn (R-TN) challenged Obama to a skeet shooting contest) the White House not only released a photo of Obama shooting skeet but White House press secretary Jay Carney also tried to water down Obama’s statement.Carney claimed Obama had “never pretended to or suggested that he had grown up as a hunter or engaging in sports activities with weapons.” According to the White House spokesman “[Obama] simply said that he had and this is the truth that he had enjoyed shooting at Camp David. That’s a fact.”He went on to explain why the photo had been released while continuing to assert that Obama’s comments about shooting had been entirely unplanned:The fact is the president was asked a question–did not volunteer but was asked a question about whether or not he had ever shot a weapon. He answered with the truth which is that he has enjoyed shooting competitively with friends at Camp David on multiple occasions… there were persistent questions about this and we decided to release a photo of the president shooting at Camp David.Obama told The New Republic that he was a skeet shooter stating “Yes in fact up at Camp David we do skeet shooting all the time. Not the girls but oftentimes guests of mine go up there.”When asked whether Obama liked skeet or trap shooting better Carney replied that Obama “has gotten better” at shooting.,1
388,"By Susan CornwellWASHINGTON Oct 29 (Reuters) - American consumers' initial experience on the Obamacare website Healthcare.gov has been inadequate and unacceptable a key administration official overseeing the troubled launch told a congressional panel on Tuesday.Marilyn Tavenner director of the agency in charge of setting up the online insurance exchanges said the administration was determined to repair the glitches but experts were still diagnosing the problems and have much work ahead.""The initial consumer experience of Healthcare.gov has not lived up to the expectations of the American people and is not acceptable"" Tavenner a former nurse who heads the U.S. Centers for Medicare and Medicaid Services said in prepared testimony to the House Ways and Means Committee.""We are committed to fixing these problems as soon as possible"" she said.It has been four weeks since the website at the center of President Barack Obama's signature healthcare law was switched on but it has been plagued by error messages delays and bugs which information technology experts from both the government and private contractors have been scrambling to fix.On Sunday a data center outage prevented Americans from enrolling in the subsidized health insurance provided for under Obama's Affordable Care Act also called Obamacare. The site was back up on Monday.Republicans have seized on the troubled website to further attack Obamacare and question whether administration officials hid problems before the launch. They are expected to press Tavenner on testimony she gave in August when she said work was on track to roll out a tested website that would make it easy for Americans to enroll for insurance.Tavenner said in her testimony for Tuesday that an ""initial wave of interest stressed the account service resulting in many consumers experiencing difficulty signing up while those who were able to sign up sometimes had problems logging in.""She also placed some blame on the contractors helping to build and maintain the website saying a subset of them ""have not met expectations."" She did not name the contractors.A ""new infusion of talent"" has been brought in and experts are working aggressively to diagnose the parts that are still experiencing problems Tavenner said. They are continuing to add capacity and more people are creating accounts she said.""We are pleased with these quick improvements but we know there is still significant additional work to be done"" she said.Tavenner's testimony before the House Ways and Means Committee marks the second congressional hearing to examine the problems with the program's rollout. Last week contractors who worked on the site told a different panel that the administration launched it after only a minimum of system-wide testing.Tavenner 62 was confirmed for her job by the Senate in May. She had been optimistic about the rollout when questioned by lawmakers about it in April and again in August.She is appearing before Congress one day before her boss U.S. Health and Human Services Secretary Kathleen Sebelius testifies to Congress on the same subject.With Obama adviser Jeffrey Zients saying Healthcare.gov should be fixed by the end of November experts say the administration could lose the interest of healthy younger adults aged 18-35 for whom the website was seen as a major avenue for enrollment.On Monday the White House issued a report promoting the program for young people. Based partly on Census data it said 46 percent of young adults who live alone in 34 states could get health coverage for $50 a month or less under Obamacare.Republicans in Congress have introduced a flurry of legislation they say is aimed at protecting the public from the problem-plagued rollout.Senators Marco Rubio and Jerry Moran have a bill to delay - until six months after the troubled Healthcare.gov is fully functioning - the mandate requiring most Americans to have health insurance in 2014 or pay a penalty.Fred Upton the Republican chair of the House Energy and Commerce Committee has also produced a bill allowing insurers to maintain existing health plans in 2014 outside the new online health insurance exchanges - even if they do not meet the benefit standards of Obamacare.",1
389,Comedy Central’s Jon Stewart spent last week mocking the GOP for opposing Obamacare ignoring legitimate concerns Republicans raised about both the health care legislation itself and its bungled launch.Turns out the funny man did hear the GOP’s complaints.Stewart interviewed Health and Human Services Secretary Kathleen Sebelius on Monday’s edition of The Daily Show and he proceeded to both mock and shred her attempt to talk up Obamacare. One almost could feel sorry for an Obama administration official forced to defend the president’s signature train wreck.Stewart kept his clown nose on for the start of their chat to highlight Obamacare’s deeply flawed web component.We’re going to do a challenge” Stewart said at the start of the interview. “I’m going to try and download every movie ever made and you are going to try to sign up for Obamacare — and we’ll see which happens first.Ouch. It was almost as if Jay Leno were sitting in Stewart’s chair for a moment.Stewart wasn’t finished.If I’m an individual that doesn’t want [Obamacare] it would be hard for me to look at a big business getting a waiver and not having to do it and me having to” Stewart said. “Because I would feel like … like you are favoring big business because they lobbied you this year but you’re not allowing individuals that same courtesy.” Sebelius ducked the question and repeated her talking points. She did that a few more times on his follow-ups prompting Stewart to say “Am I a stupid man?No just a comedian who too often defends the president for partisan reasons and mocks the one cable news station–Fox News–which holds Obama’s feet to the fire on the latest headlines.Sadly many young Americans say they get their “news” from Stewart’s Daily Show. If true Millennials got a dose of stone cold reality last night.,1
390,"WASHINGTON - President Barack Obama is expected Monday to address the problem-plagued rollout of his signature health care legislation which has suffered an embarrassing start with a cascade of computer problems plaguing online sign-ups for health insurance.The rough rollout has been a black eye for Obama who invested significant time and political capital in his first term getting the law passed with the goal of insuring millions of Americans without coverage.Administration officials say more than 476000 health insurance applications have been filed through federal and state exchanges. The figures mark the most detailed measure yet of the problem-plagued rollout of the insurance marketplace.However the officials continue to refuse to say how many people have actually enrolled. And without enrolment figures it's unclear whether the program is on track to reach the 7 million people projected to gain coverage during the six-month sign-up period.Administration officials initially blamed a high volume of interest from ordinary Americans for the frozen screens that many people encountered. Since then they have also acknowledged problems with software and some elements of the system's design.The officials said technology experts from inside and outside the government are being brought in to work on the glitches though they did not say how many workers were being added.Officials did say staffing has been increased at call centres by about 50 per cent. As problems persist on the federally run website the administration is encouraging more people to sign up for insurance over the phone.The officials would not discuss the health insurance rollout by name and were granted anonymity.Despite the widespread problems the White House has yet to fully explain what went wrong with the online system consumers were supposed to use to sign up for coverage.Interest in the insurance markets appears to continue to be high. Officials said about 19 million people have visited HealthCare.gov as of Friday night.Story continuesAmericans seeking health coverage through the legislation must fill out applications before selecting a specific plan. The forms require personal information including income figures that are used to calculate any subsidies the applicant may qualify for. More than one person can be included on an application.An internal memo obtained by The Associated Press showed that the administration projected nearly a half million people would enrol for the insurance markets during the first month.Officials say they expect enrollments to be heavier toward the end of the six-month sign up window.Problems with the rollout were largely overshadowed by Republican efforts to force changes to the health care law in exchange for funding the government. That effort failed and the government reopened last week with ""Obamacare"" intact.___Associated Press writer Ricardo Alonso-Zaldivar contributed to this report.___Follow Julie Pace at http://twitter.com/jpaceDC",1
391,"Unresolved technical problems on HealthCare.gov could lead to a rude surprise at the doctor's office next month for patients who think they successfully used the website to sign up for health insurance. They may find they're not insured after all.HealthCare.gov the federal online portal for health-insurance shopping in more than 30 states has improved after more than a month of intense fixes and enrollment is accelerating. But insurance companies are still getting information on their would-be customers that is garbled and incomplete and in some cases they are getting no information at all. President Barack Obama's administration is scrambling to repair the faulty system but scant time remains until the Dec. 23 deadline for consumers to choose a health plan that will be in place Jan. 1.The result could be an untold number of consumers remaining uninsured despite completing the enrollment process -- another embarrassing chapter in the rollout of the Affordable Care Act Obama's signature health care reform law.The Obama administration insists the enrollment glitches will be fixed in time to prevent any troubles next month but won't disclose the extent of the problem. Nor will it guarantee that any patients who fall victim to these problems won't be exposed to medical bills if they get sick or injured.""I doubt very seriously the insurance company or the government is going to say 'Oh don't worry We'll take care of it.' I think that's going to fall solely on the patient"" said Reid Blackwelder a doctor in Kingsport Tenn. who is president of the American Academy of Family Physicians. ""I wouldn't count on anybody else jumping in and bailing everybody out.""In an unusual joint press release on Wednesday the Centers for Medicare and Medicaid Services and the largest national trade groups for insurers America's Health Insurance Plans and the Blue Cross Blue Shield Association emphasized their collaboration in addressing the problem. “Ensuring that all Americans who need coverage are properly enrolled is a top priority for all of us. We are working together closely to resolve back-end issues between health plans and HealthCare.gov"" the statement said. ""We will report on our progress.”Insurance companies could smooth over difficulties during the first month of new coverage by paying the expenses of people who believed they were enrolled. But that would subject the companies to potentially big costs for patients who get expensive services without having yet paid a premium or who may not be their customers at all.Moreover insurers may be reluctant to bear the brunt of another technical failure after having already shouldered responsibility for fixing other Obamacare problems.""You'd be counting on the goodwill of the insurance company. I'm not sure how long that's going to last"" said Leslie Norwalk who was a senior official at the Centers for Medicare and Medicaid Services under President George W. Bush and is now strategic counsel at Epstein Becker Green in Washington.Patients who show up at a doctor's office hospital pharmacy or elsewhere without insurance cards in hand will have to rely on the kindness of those providers Timothy Jost a professor at Washington & Lee University School of Law in Lexington Va. wrote in an email.""It is likely that there will be problems probably a lot of them with confirming coverage but providers are used to dealing with insurer screw-ups and hopefully will be patient"" Jost wrote.HealthCare.gov users who go through the enrollment process to the end are prompted to connect with their new health insurance provider to make payments which are due Dec. 31 for coverage that begins in January. Consumers who don't take action or believe they can wait for a bill from their insurance company could find themselves in the lurch next month especially if the company has no record of their enrollment because of the technical problems.The White House says it is incumbent on individuals to double-check that they have coverage.""If consumers are not sure if they are enrolled they should call our customer call center or the insurer of their choice so that they can be sure they’re covered by Jan. 1"" White House press secretary Jay Carney said Monday. The administration is reaching out by telephone and email to consumers who have begun or submitted applications via HealthCare.gov in order to advise them of the steps they must take to confirm their enrollments.Insurance companies receive daily uploads of data about new enrollees. Despite progress since Obamacare marketplaces launched on Oct. 1 as many as one-third of enrollments submitted through the federal system contain errors The Washington Post reported on Monday.The administration says that error rate isn't accurate but won't reveal how many of the submissions -- called 834 forms -- are incorrect. The White House maintains that most of the problems have already been fixed and that the rest will be resolved in time to prevent hardships next month.The George W. Bush administration faced a similar dilemma in January 2006 when the Medicare Part D prescription drug benefit launched. Enrollees across the country visited drugstores only to find their benefits weren't in place.""That was a point of crisis because every one of those became a story"" said Michael Leavitt who was Bush's secretary of Health and Human Services at the time.A frenzied effort to guarantee patients' access to medications followed while the Bush administration worked to correct the technical bugs said Leavitt now chairman of Salt Lake City-based Leavitt Partners a consulting firm that has advised states on ACA implementation. ""It became our problem with the system not the consumer's problem"" Leavitt said.The Obama administration likewise needs to protect patients Leavitt said.""The federal government caused this and they're the ones who are going to have to take responsibility for it"" he said. ""There's an obligation to make certain that people have not been seriously disadvantaged in their health by this.""Unlike during the Medicare Part D snafu the Obama administration has no funding stream to tap to pay for medical expenses incurred by patients who encounter problems. Nevertheless Leavitt predicted his successor Health and Human Services Secretary Kathleen Sebelius would take unilateral action to avoid a backlash as the administration has on previous occasions.""The secretary of health does not lack authority in this situation"" he said. ""I can't tell you the exact authority with which she would act but you just look at the number of things they've already deferred and the way they've found flexibility they're going find the authority.""HuffPost readers: Do you plan to try HealthCare.gov or a state-run health insurance exchange website in December? Tell us about your experience -- email jeffrey.young@huffingtonpost.com. Please include your phone number if you're willing to be interviewed.",1
392,One Guatemalan father in Kansas has called a hotline every night to find out where HHS is holding his two daughters. After weeks he still has no answer.,1
393,"Aamer MadhaniUSA TODAYSecretary of Health and Human Services Kathleen Sebelius will appear before House panel on WednesdayDespite four tough weeks since ACA roll out%2C Sebelius maintains Obama%27s %22full confidence%22Sebelius%27 allies say she is steeled for tough fight with GOPWASHINGTON — Kathleen Sebelius is on the hot seat as the Obama administration battles to rebound from a problem-plagued rollout of the Affordable Care Act but friends of the embattled Health and Human Services secretary say it's a mistake to count her out.In recent days Sebelius has been lampooned by Saturday Night Live and is facing calls from several Republicans to step down because of the bungled roll out of the online exchange.Sebelius is no stranger to difficult fights. During her time as governor in the deep red state of Kansas she had high-profile battles with state GOP lawmakers over her controversial decision to prevent the expansion of a coal plant and her halting of the merger of two of the region's largest health care providers.Despite battles with Republicans on environmental issues education and health policy during her two terms as governor and as Kansas insurance commissioner she left office with an approval rating that hovered near 60%.""She has been successful because she is level-headed"" said Raj Goyle a former Democratic lawmaker in the Kansas Legislature who worked closely with Sebelius when she was governor. ""She's unflappable.""But as Sebelius prepares to appear before a House Energy and Commerce Committee on Wednesday to discuss problems with the exchange she faces the most difficult battle of her career.Republicans have only stepped up their criticism of her in recent days seizing on some of her missteps.Last week at an event to tout the Affordable Care Act in Phoenix she set off a fresh round of GOP criticism after she said those calling for her resignation were ""people who I don't work for and who do not want this program to work in the first place.""Earlier this month she struggled in an interview on the Daily Show with Jon Stewart to explain the problems with the balky website which the White House says will be running at full speed by the end of November. Sen. John Barrasso R-Wyo. this week called Sebelius ""the laughingstock of America.""Sen. Pat Roberts a Republican from her home state of Kansas who stood by her side more than four years ago at a White House ceremony when President Obama announced her nomination was the first lawmaker to call for her resignation.Todd Tiahrt a former GOP congressman from Kansas said that the call for Sebelius' ouster is merited.""Look at a parallel situation in the private sector of a CEO being hired by a board of directors to implement something that they have heavily invested in"" Tiahrt said. ""If it comes to a disaster I would venture to guess that the CEO would immediately be withdrawn and fired. ""Obama who will head to Boston on Wednesday to discuss the problems with health care implementation while she is being grilled has stood by Sebelius. The two have long had a warm relationship dating back to his first presidential campaign where she was an early backer of his run for the White House. Sebelius was also under consideration to be his running mate. White House spokesman Jay Carney has said that Sebelius maintains the president's ""full confidence.""It's not the first time that Obama has stood by Sebelius at a tough moment. Earlier this year the president appeared to publicly signal support for Sebelius after she drew Republican fire for asking health industry officials to make donations to help with the effort to implement the ACA.Soon after reports of the solicitation became public the president invited Sebelius to join him for one of his regular weekend golf outings — an invitation he has only extended to a handful of women during his presidency.Lawmakers outside of Washington have also come to Sebelius' defense. Gov. Steve Beshear the Democratic governor of Kentucky has become one of her most impassioned defenders.""It is so typical of Washington D.C. that when something goes wrong the first thing that the critics do is yell for somebody's firing or yell for somebody's scalp"" Beshear said.Forgotten in all the criticism Beshear said is that there were also problems with the rollout of Medicare in 1960s and more recently with implementation of the prescription drug benefit known as Medicare Part D. In time kinks were worked out and the programs remain popular.During her time in Kansas Sebelius earned a reputation nationally of being a consensus-builder but she had her tough battles with Republicans said Bob Beatty a political scientist at the Washburn University in Kansas.""In Kansas for a Democrat to win you have to have charisma"" Beatty said. ""But her charisma was not loud in the (New Jersey Gov.) Chris Christie sense. Sebelius' charisma came from the ability to ensure voters that she was competent. Perhaps that quieter charisma doesn't play as well in the face of a national problem like this one.""In 2007 while serving as governor of Kansas she made the unprecedented decision to deny a permit for the expansion of a coal power plant based in part on concerns about climate change kicking off a multiyear battle with the GOP-controlled legislature.That same year she ruffled Republicans' feathers when she plainly stated after a devastating tornado all but destroyed the small town of Greensburg Kan. that the recovery response was slow because vital National Guard equipment was tied up by the wars in Iraq and Afghanistan.Perhaps the moment in her political career most analogous to the battle she now faces was one that dates back to her time as Kansas' insurance commissioner.As the state's top insurance regulator in 2002 she blocked a controversial merger between two health-insurance providers. The for-profit company Anthem wanted to take over Blue Cross Blue Shield of Kansas the state's non-profit entity that covered roughly 45% of Kansans.For Anthem the private company based in Indiana the merger would have allowed them to spread its risk over a much broader pool of patients. For Blue Cross the takeover would mean that it wouldn't have to insure everybody including risky people with bad health and could be more competitive.Goyle said conventional wisdom at the time dictated that she approve the merger. But Sebelius he said ultimately looked past the political noise and led a deliberative process in which she followed the facts to the ultimate conclusion that the merger would be bad for Kansans.The episode Goyle said underscores why he believes she will ultimately emerge from the controversy over the problems with the online exchange.""The Blue Cross-Anthem situation is really Exhibit A of her ability to stay focused on the facts and the end goal"" Goyle said. ""I do not believe for one second that she's worried about the politics or that she thinks about her own standing.""",1
394,"The head of the agency responsible for overseeing the troubled HealthCare.gov repeatedly refused to disclose how many people have enrolled in ObamaCare -- during a hearing where she did not deny that officials have that information.Marilyn Tavenner head of the Centers for Medicare & Medicaid Services testified Tuesday before the House Ways and Means Committee. At the top of the hearing she apologized for the failures of the main ObamaCare website and vowed to fix them.But raising more questions about the administration's transparency on the project she declined to cite enrollment numbers. She did not claim as Health Secretary Kathleen Sebelius recently did that officials simply do not have those numbers -- rather she said a ""decision"" was made to release them in mid-November.""We made the decision that we were not releasing the numbers until mid-November"" she said.Rep. Devin Nunes R-Calif. asked again whether she had any idea what the numbers are.More On This...Her answer was the same.""I'll take that as you don't want to answer the question"" Nunes said.Earlier in the hearing Tavenner tried to downplay expectations. Facing ongoing problems with the enrollment website Tavenner told Congress that ""we expect the initial numbers to be small.""An internal memo obtained by The Associated Press shows that the administration expected nearly 500000 people to gain coverage just in October the program's first month. If the administration is short of that target it is unclear by how much.Tavenner though vowed to fix the troubled exchange website by the end of November.""To the millions who have attempted to use HealthCare.gov to shop and enroll in health care coverage I want to apologize to you that the website has not worked as well as it should"" she said. ""We know how desperately you need affordable coverage. I want to assure you that HealthCare.gov can and will be fixed.""The apology would appear to be the first by an administration official.Tavenner's testimony precedes that of Sebelius who is expected to appear before a separate House committee on Wednesday. As Tavenner testified calls were mounting from Republicans for Sebelius to resign.Significantly Sen. Lamar Alexander R-Tenn. speaking on the Senate floor called Tuesday for Sebelius' resignation. Alexander is the top Republican on the Senate health panel.""Mr. President at some point there has to be accountability. Expecting this secretary to be able to fix what she hasn't been able to fix during the last three-and-a-half years is unrealistic"" he said. ""It's throwing good money after bad. It's time for her to resign -- someone else to take charge.""In written testimony released ahead of Wednesday's hearing Sebelius vowed to improve the website and said the consumer experience to date is ""not acceptable."" But she defended the law itself and said extensive work and testing is being done.""We are working to ensure consumers' interaction with HealthCare.gov is a positive one and that the Affordable Care Act fully delivers on its promise"" she said in the prepared remarks.Republicans were also voicing concern Tuesday about Americans being kicked off their current health plans and newly uncovered documents that show the administration anticipated millions might lose their current coverage and be sent into different plans -- despite pledges to the contrary from the White House.The Associated Press contributed to this report.",1
395,Dozens of times (that we know of) over his campaign to pass ObamaCare and to win re-election President Obama lied to the American people about being able to keep the health insurance they like. But that lie has only been replaced with another: the lie that these cancellations will be limited to the 5% of Americans in the individual marketplace — when the truth is that these cancellations have only just begun.Over at National Review in a piece appropriately titled “Lying About Lies” Michael Tanner reports that the same ObamaCare formula currently wiping out the individual market is about to rain hell on the employer-based market. The result will be that tens of millions of policies will be wiped out.This is a secret that is and always has been hiding in plain sight.As far back as last March the media dutifully reported that the CBO reported that these cancellations were coming. So the media knew Obama was lying during the campaign but never said a word to spread this truth — oh except to call Mitt Romney a liar for telling the truth.All these Democrats and members of the elite media now pretending they don’t or didn’t know… Please.Just as the media knew Obama was lying about people in the individual market being able to keep their insurance the media also know that the same apocalypse looms for the employer-based market. It is not conservatives making this estimate it is the Congressional Budget Office. [emphasis mine]But the same conditions that are causing the cancellation of individual policies will eventually result in the cancellation of millions of employment-based policies as well. The only reason that hasn’t happened yet is that the employer mandate was postponed for a year so employer plans don’t yet have to be ACA-compliant. But they will. Even the Congressional Budget Office estimates that as many as 20 million workers will lose their current employer-sponsored plans. Combine that with those losing individual plans and more than 30 million Americans cannot keep their current insurance.ObamaCare’s latest trick is the “junk plan hustle.” Over and over we keep hearing about how our White House overlords are doing Americans a favor by canceling the insurance they like and replacing it with “appropriate” health plans. But most of those plans are not junk plans. That is just another lie the White House is telling and the media are letting them get away with it.The media know the White House is lying about this junk plan nonsense because the ObamaCare guidelines for what isn’t a “junk plan” only includes 2% of the policies currently in existence.According to HealthPocket a health-insurance consulting firm fewer than 2 percent of individual plans on offer today meet all ACA requirements. The most frequent reason for noncompliance was not a failure to cover hospitalization as the administration has suggested but not providing pediatric care including vision and dental care for children. A worthwhile benefit perhaps but if you are childless it’s hard to see how lacking such a benefit makes your policy subpar.This is why other serious think tanks believe that before this nightmare is over up to 93 million people could lose the insurance Obama promised they could keep.In order to buy time Obama Democrats and the media are trying to con the American people into believing that the rolling ObamaCare catastrophe is compartmentalized to just 5% of the population. This conspiracy of silence is all about trying to contain through a lie of omission what is a legitimate reason for the public to panic as soon as they realize that … they are next.Obama is not sorry for lying. And the media are not sorry for covering up that lie for three years.The phase we are in now is nothing more than a 2.0 version of that exact same lie.Follow John Nolte on Twitter @NolteNC,1
396,"Obamacare has taken a sudden and spectacular dive in public opinion according to a new poll from Gallup. Capitol Hill Democrats are splintering regularly undermining President Obama's tacit demand that they stay united in the bill's defense. What the party wouldn't give for it to be one month ago.On this day in October the roles were flipped. The Obamacare website was a mess and there were reports of people losing their existing coverage but the big story was the shutdown. Democrats stood quietly arm-in-arm watching the Republican Party trip all over itself Three Stooges-style. Now the alliterative mantra of ""Democrats in disarray"" is back and the Republicans are starting to lock arms.The news from Gallup is particularly bad for the Affordable Care Act. Late last month opinion of the bill was about evenly split with 44 percent of Americans supporting it and 47 percent opposing — a 3-point difference. Since that difference has quintupled with only 40 percent of the country supporting the bill and 55 percent opposing. ""Currently 73% of Democrats 39% of independents and 8% of Republicans approve of the healthcare law"" Gallup writes noting the particularly bad news: opinion has dropped among all parties including Democrats. Meanwhile the number of people saying that health care is the country's biggest problem has gone up 7 points since last month — though ""dissatisfaction with government"" continues to lead the way.RELATED: How Democrats Are Trying to Fix But Not Criticize ObamacareMSNBC's Benjy Sarlin points out that Obama has regularly seen stiff opposition to his policy proposals. But Obamacare for several reasons poses a much more severe risk.This time the challenge is much more tangible. Either the exchange works or it doesn’t. Either people getting cancellation notices can find acceptable affordable coverage or they can’t. There’s no messaging substitute for success on either front.Story continuesSo Democrats who The Daily Beast' Michael Tomasky notes aren't exactly known for holding strong in the face of adversity are starting to go sideways. Louisiana Sen. Mary Landrieu introduced a bill that would allow people to keep their existing health care plans. West Virginia Sen. Joe Manchin has announced his support for that bill telling Morning Joe that Obamacare has ""more than a roll-out problem. There is a product problem."" Landrieu faces a difficult reelection challenge next year and Manchin represents an increasingly conservative state but they aren't the only ones to bail. Even party-line adherents like California Sen. Dianne Feinstein are calling for some sort of legislative response.We noted earlier this week why such a fix is tricky threatening the economics that are supposed to make Obamacare work for the private sector. At New York Jonathan Chait outlines why such changes are tricky. But politics has a habit of getting in the way of (both parties') best-laid plans. House Minority Leader Nancy Pelosi told participants in The Atlantic's Washington Ideas Forum on Thursday morning that she expected an announcement from the president in support of a fix at some point today.RELATED: Some Democrats Back Delay of Obamacare Mandate Enrollment May Be ExtendedMichigan Rep. Fred Upton has introduced a bill in the House that like Landrieu's would allow people to keep their plans but only for a period of two years. If both pass there could be a conference committee to work out a compromise. The Republicans could say that they'd helped Americans worried about coverage — but as The Atlantic's Molly Ball points out inadvertently take ownership over the program perhaps even saving it from political backlash. It's not a possibility Democrats are embracing: Pelosi called the Upton vote the 46th vote for repeal and the administration opposes the Upton bill saying that it undermines ""the central promise of the Affordable Care Act.""In general though the Republicans are just trying to clear all of their members from the tracks as the Obamacare train rumbles haphazardly along. Politico suggests that the party found ""political gold"" in the issue — as long as it holds its natural inclination to overreach in check.RELATED: How Real Live Young People Feel About the Obamacare Outreach EffortThey will pass Obamacare-related bills when opportunities arise — like [Upton's] this week — but Rep. Steve Stivers (R-Ohio) neatly encapsulated the party’s emerging strategy: “We should be just like a doctor and do no harm.” “Obamacare is the gift that keeps on giving” a senior House aide said on condition of anonymity. “We just need to keep out of the way.”If that's the strategy this bit of news from the Washington Examiner can't be welcome: ""Ted Cruz previews new plan to repeal and replace Obamacare."" Cruz of course initiated the government shutdown at the beginning of October that put the Republicans on defense for several weeks and deeply undermined their popularity. The party greatly prefers the position they're in this month.This article was originally published at http://www.theatlanticwire.com/politics/2013/11/obamacare-ruined-republicans-october-and-democrats-november/71591/Read more from The Atlantic Wire• The Two Scenarios That Would Have Improved the Obamacare Launch",1
